run,event,trackIndex,gid,layer,wire,localLayer,sLayer,rawDriftDist,rawDriftDistErr,middleX,middleY,isSignal,PID,charge,turnId,scaledFltLen,lrAmbig,posX,posY,posZ,momX,momY,momZ,initialPosX,initialPosY,initialPosZ,initialMomX,initialMomY,initialMomZ
-9947,12,1,0,0,0,0,0,0.338539,0.0212369,7.44314,-1.48053,1,2212,1,1,0.0367967,-1,7.30374,-2.20039,-6.98498,0.241375,-0.0616202,-0.291338,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,0,2,0,2,0,0,0.791713,0.0365912,7.53636,0.891987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,3,0,3,0,0,0.777296,0.0365912,7.30403,2.05995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,4,0,4,0,0,0.831821,0.0365912,6.89186,3.17719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,5,0,5,0,0,0.780711,0.0365912,6.30999,4.2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,6,0,6,0,0,0.812924,0.0365912,5.57274,5.15139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,8,0,8,0,0,0.814695,0.0365912,3.70813,6.62134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,2,9,0,9,0,0,0.399827,0.0213909,2.62667,7.1199,1,-2212,-1,1,0.0190195,1,2.23712,7.2444,-0.300531,0.070675,0.208968,-0.0630634,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,3,19,0,19,0,0,0.341932,0.021211,-7.1199,2.62667,1,211,1,1,0.0555569,1,-7.08938,2.58866,-5.06101,-0.125391,0.034185,-0.1198,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,32,0,32,0,0,-0.0279497,0.028835,0.891987,-7.53636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,33,0,33,0,0,0.538838,0.0365912,2.05995,-7.30403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,34,0,34,0,0,0.787978,0.0365912,3.17719,-6.89186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,35,0,35,0,0,0.776616,0.0365912,4.2162,-6.30999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,36,0,36,0,0,0.77855,0.0365912,5.15139,-5.57274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,37,0,37,0,0,0.825722,0.0365912,5.95974,-4.69828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,1,40,1,0,1,0,0.180462,0.0219162,8.51527,-2.17339,1,2212,1,1,0.0423692,1,8.42431,-2.47886,-8.33529,0.242352,-0.0578196,-0.291255,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,4,41,1,1,1,0,0.209246,0.0211059,8.73791,-0.939422,1,-211,-1,1,0.0316687,-1,8.74551,-0.737901,6.88719,0.183081,-0.0275713,0.104125,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,0,44,1,4,1,0,0.811824,0.0348023,8.33853,2.77533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,47,1,7,1,0,0.800879,0.0348023,6.43208,5.98848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,48,1,8,1,0,0.813149,0.0348023,5.51436,6.84291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,49,1,9,1,0,0.849284,0.0348023,4.48439,7.55803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,50,1,10,1,0,0.400869,0.0184114,3.36312,8.11929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,62,1,22,1,0,0.586195,0.0348023,-8.51527,2.17339,1,211,1,1,0.0639953,-1,-8.35099,2.91536,-6.2624,-0.126134,0.031112,-0.119847,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,78,1,38,1,0,0.800702,0.0348023,3.93378,-7.85869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,79,1,39,1,0,0.837748,0.0348023,5.01214,-7.21886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,81,1,41,1,0,0.799018,0.0348023,6.84291,-5.51436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,5,83,1,43,1,0,0.594827,0.0348023,8.11929,-3.36312,1,211,1,1,0.131351,-1,7.90858,-4.02833,-3.71068,0.0451694,-0.0141601,-0.02924,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,4,84,2,0,2,0,0.292576,0.0170625,9.88734,-1.63241,1,-211,-1,1,0.0359912,1,10.0112,-0.940592,7.60805,0.182569,-0.0308441,0.104094,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,0,88,2,4,2,0,0.874983,0.0272658,9.37889,3.52997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,89,2,5,2,0,0.854889,0.0272658,8.8379,4.72396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,90,2,6,2,0,0.855304,0.0272658,8.14569,5.83712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,107,2,23,2,0,0.143456,0.0202512,-9.58968,2.909,1,211,1,1,0.0727552,1,-9.48846,3.17787,-7.33953,-0.126912,0.0275655,-0.119888,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,125,2,41,2,0,0.847979,0.0272658,4.72396,-8.8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,129,2,45,2,0,0.906022,0.0272658,8.51002,-5.29187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,5,130,2,46,2,0,0.0668909,0.024822,9.12794,-4.13582,1,211,1,1,0.145459,1,9.0291,-4.33293,-4.42769,0.0460941,-0.0107127,-0.0292439,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,0,132,3,0,3,0,0.210105,0.0163312,11.0864,-2.20521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,159,3,27,3,0,0.475576,0.0161532,-10.7697,3.43263,1,211,1,1,0.0810543,1,-10.6903,3.42277,-8.47187,-0.127647,0.0239655,-0.119878,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,181,3,49,3,0,0.838841,0.0236788,6.27992,-9.39856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,182,3,50,3,0,0.855738,0.0236788,7.29273,-8.63633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,185,3,53,3,0,0.836841,0.0236788,9.73589,-5.74306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,5,186,3,54,3,0,0.329717,0.0151683,10.3177,-4.61687,1,211,1,1,0.160107,1,10.2412,-4.56308,-5.19084,0.0466922,-0.00749903,-0.0292495,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,0,187,3,55,3,0,0.824588,0.0236788,10.7697,-3.43263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,190,4,2,0,1,0.998255,0.0197106,11.0857,5.5801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,191,4,3,0,1,0.881642,0.0197106,10.4854,6.63982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,192,4,4,0,1,0.966341,0.0197106,9.78411,7.6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,2,198,4,10,0,1,0.177545,0.013792,3.89308,11.7845,1,-2212,-1,1,0.0303951,-1,3.92441,11.7596,-1.67027,0.0844081,0.203525,-0.06248,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,3,214,4,26,0,1,0.38727,0.0125752,-11.7845,3.89308,1,211,1,1,0.0888348,-1,-11.9071,3.63516,-9.61209,-0.12831,0.0205826,-0.119796,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,239,4,51,0,1,0.903833,0.0197106,6.63982,-10.4854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
